,lift,freq,error,rule
2941,2.779712163416899,0.0025,0.0004,電気機器 > -0.0946& 非鉄金属 > -0.2261& 陸運業 <= -0.0781& 小売業 > -0.1425& 鉄鋼 <= -0.0958& 繊維製品 > -0.0820
3633,2.779712163416899,0.005,0.0008,情報・通信業 <= -0.0589& 電気・ガス業 > -0.0965& 金属製品 <= 0.0562& 鉱業 > 0.0201& 陸運業 <= -0.0658& 繊維製品 > -0.0563
816,2.773014061818304,0.0347,0.0058,情報・通信業 <= -0.0682& 食料品 <= 0.0559& ガラス・土石製品 <= -0.0290& 非鉄金属 <= 0.2678& 非鉄金属 > -0.2038& 陸運業 <= -0.0835
1088,2.76788360101938,0.0196,0.0033,空運業 > -0.0984& 電気・ガス業 <= -0.0908& 機械 > -0.2942& 海運業 <= 0.0099& 輸送用機器 <= 0.3029& 卸売業 <= -0.0684
14,2.766152591888036,0.0685,0.0117,水産・農林業 <= -0.0019& 金属製品 <= 0.0484& 非鉄金属 > -0.2020& パルプ・紙 <= -0.0873& 不動産業 <= 0.1420& 鉄鋼 > -0.0950
3638,2.766152591888036,0.0514,0.0088,電気・ガス業 > -0.0965& 金属製品 <= 0.0562& 精密機器 > 0.0772& 陸運業 > -0.0658& 輸送用機器 > 0.0209& 繊維製品 > -0.0563
3447,2.7650820993989154,0.0635,0.0109,電気・ガス業 > -0.0897& 食料品 <= 0.0509& 機械 > -0.1003& 鉱業 <= 0.0035& パルプ・紙 <= -0.0874& 医薬品 > -0.1001
1436,2.7638280939116595,0.0146,0.0025,水産・農林業 <= 0.0696& パルプ・紙 > -0.0816& 陸運業 > 0.0640& 証券・商品先物取引業 > 0.2503& 輸送用機器 > 0.1621& 倉庫・運輸関連業 > 0.0997
250,2.7611807489941196,0.0752,0.0129,水産・農林業 <= 0.0168& その他製品 <= 0.0276& パルプ・紙 <= -0.0655& 精密機器 > -0.1550& 鉄鋼 > -0.0950& バリュー <= 0.405
1656,2.75554075330023,0.0096,0.0017,電気・ガス業 > -0.1371& 金属製品 <= 0.0490& 不動産業 <= -0.1759& 鉄鋼 <= -0.1049& 鉄鋼 > -0.1945& 繊維製品 <= -0.1865
3624,2.75554075330023,0.0192,0.0033,電気・ガス業 > -0.0965& ガラス・土石製品 > -0.1865& 金属製品 <= 0.0562& ゴム製品 <= -0.1582& 証券・商品先物取引業 <= -0.1804& 繊維製品 <= -0.0563
1101,2.75554075330023,0.0096,0.0017,電気・ガス業 > -0.0908& 保険業 <= -0.1194& 陸運業 <= -0.1038& 証券・商品先物取引業 <= -0.0073& 鉄鋼 <= -0.0972& 卸売業 > -0.3772
3224,2.75554075330023,0.0096,0.0017,電気機器 > 0.1878& 電気・ガス業 > -0.0532& 機械 <= 0.2662& パルプ・紙 > 0.0366& 陸運業 > 0.0403& 輸送用機器 > 0.1290
2285,2.7519150417827296,0.0334,0.0058,化学 <= 0.1768& 機械 > 0.1551& 非鉄金属 > 0.2511& 陸運業 > -0.0848& 不動産業 > 0.0472& 輸送用機器 > 0.1712
560,2.7519150417827296,0.0167,0.0029,電気機器 <= 0.2351& 保険業 <= -0.0488& パルプ・紙 > -0.0858& 陸運業 <= -0.0823& 証券・商品先物取引業 <= -0.0149& 鉄鋼 > -0.1029
466,2.7519150417827296,0.0167,0.0029,電気機器 > -0.0563& パルプ・紙 > -0.1228& 石油・石炭製品 <= -0.0301& 陸運業 <= -0.0859& 輸送用機器 <= 0.1657& 卸売業 > -0.2154
3925,2.7470096673767,0.0213,0.0038,銀行業 <= 0.1403& 情報・通信業 > -0.0437& 電気機器 > -0.0410& 金属製品 <= 0.0490& 非鉄金属 > 0.0947& 医薬品 > -0.0048
2938,2.7470096673767,0.0071,0.0013,電気機器 <= -0.0946& ガラス・土石製品 <= -0.0988& 非鉄金属 > -0.2261& 陸運業 <= -0.0781& 小売業 > -0.1425& 鉄鋼 <= -0.0958
3197,2.7470096673767,0.0213,0.0038,電気機器 <= 0.1878& 水産・農林業 > -0.0043& 非鉄金属 > -0.2020& 陸運業 <= -0.0681& 証券・商品先物取引業 <= 0.0054& サービス業 > -0.0513
2911,2.7470096673767,0.0071,0.0013,化学 > -0.0876& パルプ・紙 <= -0.0979& 陸運業 > -0.0845& 鉄鋼 > -0.1050& 鉄鋼 > 0.0220& サービス業 <= -0.1143
2991,2.7438449096953907,0.0518,0.0092,空運業 > -0.1616& 電気・ガス業 <= 0.0067& パルプ・紙 <= -0.0843& 鉄鋼 > -0.0950& 鉄鋼 <= 0.0492& 輸送用機器 > -0.0854
