,業種1,不等号1,値1,業種2,不等号2,値2,業種3,不等号3,値3,業種4,不等号4,値4,業種5,不等号5,値5,業種6,不等号6,値6
1036,電気機器,>,-0.148332693382402,電気・ガス業,>,-0.0919601841868163,パルプ・紙,>,-0.067935848802848,石油・石炭製品,<=,-0.0203199390136507,医薬品,<=,0.0098852497509226,サービス業,<=,-0.115007110493152
1079,空運業,>,-0.233502638727478,銀行業,>,-0.266623955684495,電気・ガス業,>,0.0261269598907309,その他製品,>,0.0277150068753727,証券・商品先物取引業,>,-0.0152766745116376,鉄鋼,<=,0.222404890929755
320,銀行業,>,-0.0173853506836845,ガラス・土石製品,<=,0.26509752844645,非鉄金属,<=,0.225987884011852,パルプ・紙,>,-0.0672450123007044,医薬品,<=,0.129320687815343,鉄鋼,>,-0.105827720386558
1604,電気・ガス業,>,-0.00384084110896005,食料品,<=,0.0546332695531344,ガラス・土石製品,>,-0.0265880802304789,金属製品,>,0.0611201195869414,非鉄金属,<=,0.225987246159479,陸運業,>,-0.0762823700560334
1770,水産・農林業,<=,-0.1205875902708,パルプ・紙,>,-0.081665249642293,医薬品,<=,0.122322712049791,医薬品,<=,-0.00222961977521165,不動産業,>,-0.27586660942811,輸送用機器,<=,0.101575157321942
3733,空運業,>,-0.027453700771878,金属製品,<=,0.0617643460357787,パルプ・紙,>,-0.0877074166826519,鉄鋼,<=,0.0157282398413435,輸送用機器,<=,0.0702117253586913,卸売業,>,-0.0760146230600947
2322,その他製品,>,-0.132492089329112,非鉄金属,>,-0.209460474874522,陸運業,<=,-0.0819289181927181,海運業,<=,-0.111735766535878,輸送用機器,<=,-0.0763894377647193,倉庫・運輸関連業,>,-0.228180886748874
2421,食料品,>,0.054576115700262,陸運業,>,0.174021045384233,不動産業,>,0.365282196017301,輸送用機器,<=,0.168732676598839,サイズ,<=,0.855,,,
3826,空運業,<=,0.0707963239437894,情報・通信業,>,0.0959578985619644,ガラス・土石製品,>,0.14074023351214,非鉄金属,>,-0.211852051566755,証券・商品先物取引業,<=,0.278881570666114,証券・商品先物取引業,>,0.0202639292950002
367,化学,>,-0.222241798909272,機械,<=,-0.0563520125211901,陸運業,<=,-0.0858937152443136,ゴム製品,<=,-0.131294765192535,鉄鋼,>,-0.305607800538538,卸売業,<=,-0.19973287882144
3171,その他製品,>,0.0280463950539113,証券・商品先物取引業,>,0.330414125259983,海運業,>,0.174182202996981,鉄鋼,>,-0.17513936941331,マーケット,>,-0.435,バリュー,>,-0.62
